id	level	name	image	status	intro
garden	home	Garden	scenes/garden.jpg	ready	You're standing in the garden. Where do you go?
bedroom	home	Bedroom	scenes/bedroom.jpg	ready	The house is quiet. What's on your mind before you sleep?
hallway	home	Hallway		pending	
kitchen	home	Kitchen		pending	
backpath	home	Back Path		pending	
street-corner	street	Street Corner		pending	
bus-stop	street	Bus Stop		pending	
shop	street	Shop		pending	
playground	school	Playground		pending	
classroom	school	Classroom		pending	
